GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
QuizWebApp,QuizWebApp.AOP,LoggingAspect,36,0,0,0,6,0,3,0,3,0
QuizWebApp,QuizWebApp.AOP,PointCuts,4,0,0,0,2,0,2,0,2,0
QuizWebApp,QuizWebApp.AOP,MyExceptionHandler,12,0,0,0,2,0,2,0,2,0
QuizWebApp,QuizWebApp.security,AuthUserDetail,49,0,0,0,8,0,9,0,9,0
QuizWebApp,QuizWebApp.security,AuthUserDetail.AuthUserDetailBuilder,98,0,0,0,1,0,10,0,10,0
QuizWebApp,QuizWebApp.security,JwtProvider,72,0,0,0,19,0,4,0,4,0
QuizWebApp,QuizWebApp.security,JwtFilter,36,0,2,0,12,0,4,0,3,0
QuizWebApp,QuizWebApp.dao,AbstractHibernateDAO,46,0,0,0,11,0,6,0,6,0
QuizWebApp,QuizWebApp.service,ContactService,20,0,0,0,7,0,5,0,5,0
QuizWebApp,QuizWebApp.service,QuestionService,83,0,4,0,26,0,18,0,16,0
QuizWebApp,QuizWebApp.service,ResultService,65,0,0,0,20,0,14,0,14,0
QuizWebApp,QuizWebApp.service,UserService,161,0,18,0,39,0,23,0,14,0
QuizWebApp,QuizWebApp.service,FeedbackService,9,22,0,2,4,5,2,4,2,3
QuizWebApp,QuizWebApp.controller,LoginController,76,0,10,0,20,0,9,0,4,0
QuizWebApp,QuizWebApp.controller,ApiController,127,0,2,0,36,0,14,0,13,0
QuizWebApp,QuizWebApp.controller,FeedbackController,0,27,0,0,0,6,0,3,0,3
QuizWebApp,QuizWebApp.controller,RegisterController,32,0,0,0,7,0,4,0,4,0
QuizWebApp,QuizWebApp.controller,QuestionController,117,0,10,0,15,0,8,0,3,0
QuizWebApp,QuizWebApp.controller,HomeController,50,0,2,0,14,0,3,0,2,0
QuizWebApp,QuizWebApp.controller,QuizController,541,0,6,0,111,0,17,0,14,0
QuizWebApp,QuizWebApp.controller,AdminController,386,0,18,0,82,0,15,0,6,0
QuizWebApp,QuizWebApp.controller,ContactController,29,0,0,0,6,0,3,0,3,0
QuizWebApp,QuizWebApp.dao.jdbc,QuizResultDAOJdbcImpl,148,0,2,0,23,0,9,0,8,0
QuizWebApp,QuizWebApp.dao.jdbc,ContactDAOJdbcImpl,59,0,0,0,11,0,3,0,3,0
QuizWebApp,QuizWebApp.dao.jdbc,QuestionDAOJdbcImpl,126,0,2,0,25,0,9,0,8,0
QuizWebApp,QuizWebApp.dao.jdbc,QuizResultRowMapper,39,0,0,0,9,0,2,0,2,0
QuizWebApp,QuizWebApp.dao.jdbc,QuestResultDAOJdbcImpl.new BatchPreparedStatementSetter() {...},35,0,0,0,7,0,3,0,3,0
QuizWebApp,QuizWebApp.dao.jdbc,QuestResultDAOJdbcImpl,43,0,0,0,11,0,3,0,3,0
QuizWebApp,QuizWebApp.dao.jdbc,QuestResultRowMapper,29,0,0,0,7,0,2,0,2,0
QuizWebApp,QuizWebApp.dao.jdbc,FeedbackRowMapper,29,0,0,0,7,0,2,0,2,0
QuizWebApp,QuizWebApp.dao.jdbc,UserRowMapper,54,0,0,0,12,0,2,0,2,0
QuizWebApp,QuizWebApp.dao.jdbc,ContactRowMapper,39,0,0,0,9,0,2,0,2,0
QuizWebApp,QuizWebApp.dao.jdbc,ChoiceDAOJdbcImpl.new BatchPreparedStatementSetter() {...},35,0,0,0,7,0,3,0,3,0
QuizWebApp,QuizWebApp.dao.jdbc,ChoiceDAOJdbcImpl,59,0,0,0,13,0,4,0,4,0
QuizWebApp,QuizWebApp.dao.jdbc,QuestionRowMapper,29,0,0,0,7,0,2,0,2,0
QuizWebApp,QuizWebApp.dao.jdbc,FeedbackDAOJdbcImpl,52,0,0,0,12,0,4,0,4,0
QuizWebApp,QuizWebApp.dao.jdbc,UserDAOJdbcImpl,137,0,0,0,22,0,8,0,8,0
QuizWebApp,QuizWebApp.dao.jdbc,ChoiceRowMapper,29,0,0,0,7,0,2,0,2,0
QuizWebApp,QuizWebApp.dao.jdbc,UserPermissionRowMapper,24,0,0,0,6,0,2,0,2,0
QuizWebApp,QuizWebApp.dao.hibernate,ContactDAOHibernateImpl,25,0,0,0,7,0,4,0,4,0
QuizWebApp,QuizWebApp.dao.hibernate,UserDAOHibernateImpl,74,0,0,0,18,0,9,0,9,0
QuizWebApp,QuizWebApp.dao.hibernate,ChoiceDAOHibernateImpl,98,0,10,0,17,0,11,0,6,0
QuizWebApp,QuizWebApp.dao.hibernate,QuizResultDAOHibernateImpl,124,0,8,0,23,0,15,0,11,0
QuizWebApp,QuizWebApp.dao.hibernate,FeedbackDAOHibernateImpl,53,0,2,0,11,0,7,0,6,0
QuizWebApp,QuizWebApp.dao.hibernate,QuestResultDAOHibernate,59,0,6,0,10,0,7,0,4,0
QuizWebApp,QuizWebApp.dao.hibernate,QuestionDAOHibernateImpl,135,0,4,0,31,0,12,0,10,0
QuizWebApp,QuizWebApp,QuizWebAppApplication,8,0,0,0,3,0,2,0,2,0
QuizWebApp,QuizWebApp.filter,LoginFilter,32,0,4,0,9,0,5,0,3,0
